Country,SE.COM.DURS,SE.ENR.PRIM.FM.ZS,SE.ENR.PRSC.FM.ZS,SE.ENR.SECO.FM.ZS,SE.ENR.TERT.FM.ZS,SE.PRE.DURS,SE.PRE.ENRL.TC.ZS,SE.PRE.ENRR,SE.PRE.ENRR.FE,SE.PRE.ENRR.MA,SE.PRM.AGES,SE.PRM.CMPT.FE.ZS,SE.PRM.CMPT.MA.ZS,SE.PRM.CMPT.ZS,SE.PRM.DURS,SE.PRM.ENRL,SE.PRM.ENRL.FE.ZS,SE.PRM.ENRL.TC.ZS,SE.PRM.ENRR,SE.PRM.ENRR.FE,SE.PRM.ENRR.MA,SE.PRM.GINT.FE.ZS,SE.PRM.GINT.MA.ZS,SE.PRM.GINT.ZS,SE.PRM.NENR,SE.PRM.OENR.FE.ZS,SE.PRM.OENR.MA.ZS,SE.PRM.OENR.ZS,SE.PRM.PRIV.ZS,SE.PRM.PRSL.FE.ZS,SE.PRM.PRSL.MA.ZS,SE.PRM.PRSL.ZS,SE.PRM.REPT.FE.ZS,SE.PRM.REPT.MA.ZS,SE.PRM.REPT.ZS,SE.PRM.TCHR,SE.PRM.TCHR.FE.ZS,SE.PRM.TENR,SE.PRM.UNER,SE.PRM.UNER.FE,SE.PRM.UNER.FE.ZS,SE.PRM.UNER.MA,SE.PRM.UNER.MA.ZS,SE.PRM.UNER.ZS,SE.SEC.AGES,SE.SEC.CMPT.LO.FE.ZS,SE.SEC.CMPT.LO.MA.ZS,SE.SEC.CMPT.LO.ZS,SE.SEC.DURS,SE.SEC.ENRL,SE.SEC.ENRL.FE.ZS,SE.SEC.ENRL.GC,SE.SEC.ENRL.GC.FE.ZS,SE.SEC.ENRL.LO.TC.ZS,SE.SEC.ENRL.TC.ZS,SE.SEC.ENRL.VO,SE.SEC.ENRL.VO.FE.ZS,SE.SEC.ENRR,SE.SEC.ENRR.FE,SE.SEC.ENRR.MA,SE.SEC.NENR,SE.SEC.NENR.FE,SE.SEC.NENR.MA,SE.SEC.PRIV.ZS,SE.SEC.PROG.FE.ZS,SE.SEC.PROG.MA.ZS,SE.SEC.PROG.ZS,SE.SEC.TCHR,SE.SEC.TCHR.FE,SE.SEC.TCHR.FE.ZS,SE.TER.ENRR,SE.TER.ENRR.FE,SE.TER.ENRR.MA,SE.XPD.PRIM.ZS,SE.XPD.SECO.ZS,SE.XPD.TERT.ZS,SE.XPD.TOTL.GB.ZS,SE.XPD.TOTL.GD.ZS,SH.DTH.0509,SH.DTH.1014,SH.DTH.1519,SH.DTH.2024,SH.DYN.0509,SH.DYN.1014,SH.DYN.1519,SH.DYN.2024,SL.TLF.TOTL.FE.ZS,SL.TLF.TOTL.IN,SL.UEM.TOTL.FE.ZS,SL.UEM.TOTL.MA.ZS,SL.UEM.TOTL.ZS,SP.POP.0014.TO.ZS,SP.POP.1564.TO.ZS
Afghanistan,9,0.666909993,0.636020005,0.570980012,0.345230013,1,,,,,7,67.12930298,103.2832565,85.62532806,6,6544906,38.95507,48.78979,103.9961624,82.85025024,124.2297516,90.44738,130.19382,110.77532,,,,,5.951280117,,,,3.80515,4.25504,4.07978,134145,36.05202866,,,,,,,,13,40.10343933,69.76795197,55.34642029,6,3063889,35.12363,3041987,35.28181,33.87261,33.50124,21902,13.15405,55.42520905,39.99840164,70.05275726,50.1407,36.69527,62.88953,4.458119869,,,,92139,32829,35.62985992,9.686420441,4.905079842,14.20810032,,,,,,2744,2030,12310,12990,2.5,2,13.8,17.6,21.24702087,10319282,13.92000008,10.28999996,11.06000042,43.09017551,54.32489755
Albania,9,1.037649989,1.01730001,1.005390048,1.362990022,5,17.09409,80.49873352,80.79097748,80.23322296,6,104.6567688,98.85868073,101.5378571,5,170861,47.42217,17.57287,106.9934235,109.1112289,105.1525803,111.1671,107.25466,109.09234,94.52966,5.9339,7.16425,6.58079,7.740799904,88.63291168,89.41719818,89.04618073,0.68867,0.99182,0.84806,9723,84.93263245,97.44221,4085,,,,,2.557790041,11,100.0737915,93.07907867,96.33482361,7,268872,47.09416,248267,49.70777,9.87655,11.19927,20605,15.60301,95.43232727,95.70465088,95.19122314,86.60827,89.1819,84.32964,8.793780327,,,,24008,15999,66.64028931,54.96133041,67.57861328,43.04796982,,,,,,32,38,77,94,1,1.1,1.8,1.9,42.19068734,1400072,11.86999989,12.61999989,12.30000019,17.67287372,68.58239036
Algeria,10,0.954990029,,,1.397220016,1,,,,,6,105.6250763,104.6819305,105.143959,5,4429994,47.82363,24.32018,109.8828201,107.3022919,112.3595505,101.50776,102.23707,101.88002,97.63517,4.71239,8.26426,6.56563,1.276190042,91.89074707,91.23597717,91.55725098,3.67491,7.17467,5.50096,182153,80.53504181,99.6475,14211,,,,,0.352499992,11,95.44721222,74.26065826,84.64131165,7,,,4075023,50.72398,,,,,,,,,,,,,,,,,,51.36566925,64.42080688,38.83169937,,,,,,1506,1153,1520,2148,1.7,1.7,2.7,3.3,20.1269738,12589369,20.48999977,9.720000267,11.89000034,30.14867859,63.48882487
Andorra,10,,,,,3,13.27711,,,,6,,,,6,4325,47.83815,10.49757,,,,,,,,6.13823,7.40248,6.79769,2.289020061,,,68.16177368,0.72499,0.75355,0.73988,412,79.85437012,,,,,,,,12,,,,6,4513,48.34921,4025,49.3913,,8.01599,488,39.7541,,,,,,,3.057830095,,,,563,380,67.49555969,,,,21.42039,25.30678,5.64106,19.32305908,3.246720076,0,0,1,2,0.4,0.5,1.4,2.1,,,,,,,
Angola,6,,,,,5,,,,,6,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10494,5157,8620,10858,10.8,6.4,13.1,19.9,50.20290973,12705650,7.28000021,6.71999979,7,46.80892471,50.97470164
Antigua and Barbuda,11,0.992079973,0.97924,0.962859988,,5,,70.25360107,74.02507019,66.59918976,5,98.96450043,93.49710846,96.19882965,7,10123,49.20478,12.40564,105.0212708,104.5989075,105.43367,99.57082,97.49652,98.51904,95.69547,3.03152,4.10346,3.57602,48.76025009,,,,1.04397,1.69195,1.37311,816,92.15686035,99.3101,66,,,,,0.689899981,12,102.0114899,95.35211182,98.64865112,5,7856,48.52342,7574,48.95696,,9.29704,282,36.87943,111.1960373,109.0700989,113.2773132,88.78981,89.72818,87.87115,17.97352028,,,,845,618,73.13609314,,,,,,,,,1,1,4,5,0.7,1,2.5,3.2,,,,,,22.08109175,69.11908273
Arab World,9,0.94617,0.94833,0.95186,1.099349976,3,21.16757,27.00180054,26.85544014,27.14163017,,83.33918762,86.49443054,84.95223236,6,48500000,47.47494,20.78495,95.54203,92.84049,98.12279,94.70981,97.65121,96.21463,84.05164,,,,9.78265,81.77235,81.34216,81.55021,4.23836,7.12273,5.75338,2333231,62.91093,85.38422,7486016,4020699,16.19820023,3465316,13.33660984,14.73468971,,69.30822754,67.98251343,68.63253784,6,32900000,47.202,29800000,48.24162,16.02797,14.49976,3326311,37.89879,71.87227,70.06162,73.60526,63.51428,61.33394,65.6165,9.87095,,,,2243968,1073197,47.82587,32.17385101,33.90570068,30.53714943,,,,,,34755,23558,46123,58525,3.740770732,2.92322605,6.26808643,8.017785326,20.36875902,134761988,19.90364225,7.788688029,10.25679764,32.7804361,62.66168749
Argentina,14,,,,,6,,,,,6,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,623,780,2449,3421,0.8,1.1,3.5,4.9,43.00185746,20551682,10.53999996,8.229999542,9.220000267,24.76093384,64.12127729
Armenia,12,0.999610007,1.022830009,1.037619948,1.247879982,3,6.2709,38.02128983,39.65969086,36.57667923,6,89.51941681,90.19304657,89.87895966,4,153415,46.70534,15.41859,92.71524811,92.69589996,92.73222351,92.50577,91.35214,91.89196,90.72273,2.31951,1.99971,2.14907,2.308769941,97.11903381,94.96495056,95.9681778,0.31262,0.2385,0.27312,9950,,90.843,11426,5376,6.954810143,6050,6.861740112,6.905220032,10,94.33508301,92.3886795,93.29219818,8,234983,47.26682,215307,47.77225,12.02976,8.01689,19676,41.73613,83.15068054,84.80037689,81.72560883,,,,2.472939968,,,,29311,23412,79.87445068,54.57048035,62.64839172,47.11909866,,,,,,43,36,78,107,1,1,2.3,2.7,44.23157513,1245626,20.39999962,17.82999992,18.96999931,20.63342192,68.11276042
Aruba,13,,,,,2,,,,,6,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.80244697,68.64660589
